mesh_code,daytime_population
533945041,3619
533945042,3232
533945043,1060
533945044,2975
533945051,4161
533945053,1359
533945061,8014
533945062,9218
533945063,3106
533945064,12869
533945071,15364
533945072,2515
533945073,9822
533945074,16412
533945081,7305
533945082,6520
533945083,19437
533945084,28867
533945091,41390
533945092,51560
533945093,34977
533945094,53290
533945101,138
533945102,817
533945103,1627
533945104,1773
533945111,1961
533945112,1522
533945113,900
533945114,1018
533945121,446
533945122,2411
533945123,637
533945124,1346
533945131,1414
533945132,4690
533945133,464
533945134,860
533945141,5163
533945142,2030
533945143,1675
533945144,21519
533945151,1310
533945152,647
533945153,10047
533945154,4147
533945161,4132
533945162,10683
533945163,17169
533945164,6572
533945171,180
533945172,1347
533945173,5678
533945174,5299
533945181,78
533945182,26206
533945183,675
533945184,29439
533945191,12072
533945192,1086
533945193,21568
533945194,34
533945201,1084
533945202,186
533945203,542
533945204,278
533945211,139
533945212,438
533945213,464
533945214,282
533945221,1765
533945222,2317
533945223,1069
533945224,1688
533945231,1718
533945232,1370
533945233,2108
533945234,1829
533945241,669
533945242,3571
533945243,2189
533945244,6377
533945251,21431
533945252,31301
533945253,45765
533945254,52585
533945261,27162
533945262,41
533945263,36016
533945264,27277
533945271,2793
533945272,4993
533945273,14848
533945274,9119
533945281,12436
533945282,31262
533945283,11102
533945284,19111
533945291,25543
533945292,1779
533945293,7960
533945294,6981
533945301,225
533945302,567
533945303,267
533945304,4779
533945311,736
533945312,680
533945313,1504
533945314,2714
533945321,1101
533945322,832
533945323,2199
533945324,1891
533945331,1496
533945332,2137
533945333,3008
533945334,4088
533945341,1495
533945342,2435
533945343,3783
533945344,12946
533945351,57978
533945352,82305
533945353,17724
533945354,20058
533945361,22358
533945362,15618
533945363,10206
533945364,15927
533945371,3986
533945372,6132
533945373,1812
533945374,6384
533945381,15309
533945382,7423
533945383,2042
533945384,3429
533945391,19480
533945392,8446
533945393,5017
533945394,22432
533945401,1200
533945402,3741
533945403,462
533945404,3694
533945411,604
533945412,3037
533945413,2455
533945414,4069
533945421,3063
533945422,1134
533945423,5057
533945424,9254
533945431,4782
533945432,1583
533945433,12110
533945434,1493
533945441,1301
533945442,2898
533945443,630
533945444,4139
533945451,1048
533945452,6185
533945453,1808
533945454,3979
533945461,3950
533945462,7502
533945463,5769
533945464,3289
533945471,5665
533945472,1611
533945473,1273
533945474,14294
533945481,808
533945482,5234
533945483,6847
533945484,4273
533945491,19214
533945492,26984
533945493,7281
533945494,13259
533945501,614
533945502,1113
533945503,426
533945504,953
533945511,548
533945512,674
533945513,354
533945514,366
533945521,1281
533945522,2587
533945523,538
533945524,475
533945531,10493
533945532,1530
533945533,1487
533945534,1424
533945541,1262
533945542,3664
533945543,248
533945544,979
533945551,1805
533945552,4312
533945553,1260
533945554,2026
533945561,10052
533945562,7345
533945563,12952
533945564,10242
533945571,1693
533945572,2914
533945573,989
533945574,810
533945581,5939
533945582,3650
533945583,1740
533945584,1094
533945591,7009
533945592,2019
533945593,5100
533945594,1311
533945601,664
533945602,547
533945603,686
533945604,512
533945611,414
533945612,417
533945613,1413
533945614,1185
533945621,2029
533945622,260
533945623,1385
533945624,847
533945631,1121
533945632,1293
533945633,1319
533945634,834
533945641,1749
533945642,359
